记录数,地区,GDP(亿元）,年
1,江苏省,54058.22,2012/1/1
1,浙江省,34665.33,2012/1/1
1,安徽省,17212.05,2012/1/1
1,福建省,19701.78,2012/1/1
1,江西省,12948.88,2012/1/1
1,山东省,50013.24,2012/1/1
1,河南省,29599.31,2012/1/1
1,湖北省,22250.45,2012/1/1
1,湖南省,22154.23,2012/1/1
1,广东省,57067.92,2012/1/1
1,广西壮族自治区,13035.1,2012/1/1
1,海南省,2855.54,2012/1/1
1,重庆市,11409.6,2012/1/1
1,四川省,23872.8,2012/1/1
1,贵州省,6852.2,2012/1/1
1,云南省,10309.47,2012/1/1
1,西藏自治区,701.03,2012/1/1
1,陕西省,14453.68,2012/1/1
1,甘肃省,5650.2,2012/1/1
1,青海省,1893.54,2012/1/1
1,宁夏回族自治区,2341.29,2012/1/1
1,新疆维吾尔自治区,7505.31,2012/1/1
1,北京市,19800.81,2013/1/1
1,天津市,14442.01,2013/1/1
1,河北省,28442.95,2013/1/1
1,山西省,12665.25,2013/1/1
1,内蒙古自治区,16916.5,2013/1/1
1,辽宁省,27213.22,2013/1/1
1,吉林省,13046.4,2013/1/1
1,黑龙江省,14454.91,2013/1/1
1,上海市,21818.15,2013/1/1
1,江苏省,59753.37,2013/1/1
1,浙江省,37756.59,2013/1/1
1,安徽省,19229.34,2013/1/1
1,福建省,21868.49,2013/1/1
1,江西省,14410.19,2013/1/1
1,山东省,55230.32,2013/1/1
1,河南省,32191.3,2013/1/1
1,湖北省,24791.83,2013/1/1
1,湖南省,24621.67,2013/1/1
1,广东省,62474.79,2013/1/1
1,广西壮族自治区,14449.9,2013/1/1
1,海南省,3177.56,2013/1/1
1,重庆市,12783.26,2013/1/1
1,四川省,26392.07,2013/1/1
1,贵州省,8086.86,2013/1/1
1,云南省,11832.31,2013/1/1
1,西藏自治区,815.67,2013/1/1
1,陕西省,16205.45,2013/1/1
1,甘肃省,6330.69,2013/1/1
1,青海省,2122.06,2013/1/1
1,宁夏回族自治区,2577.57,2013/1/1
1,新疆维吾尔自治区,8443.84,2013/1/1
1,北京市,21330.83,2014/1/1
1,天津市,15726.93,2014/1/1
1,河北省,29421.15,2014/1/1
1,山西省,12761.49,2014/1/1
1,内蒙古自治区,17770.19,2014/1/1
1,辽宁省,28626.58,2014/1/1
1,吉林省,13803.14,2014/1/1
1,黑龙江省,15039.38,2014/1/1
1,上海市,23567.7,2014/1/1
1,江苏省,65088.32,2014/1/1
1,浙江省,40173.03,2014/1/1
1,安徽省,20848.75,2014/1/1
1,福建省,24055.76,2014/1/1
1,江西省,15714.63,2014/1/1
1,山东省,59426.59,2014/1/1
1,河南省,34938.24,2014/1/1
1,湖北省,27379.22,2014/1/1
1,湖南省,27037.32,2014/1/1
1,广东省,67809.85,2014/1/1
1,广西壮族自治区,15672.89,2014/1/1
1,海南省,3500.72,2014/1/1
1,重庆市,14262.6,2014/1/1
1,四川省,28536.66,2014/1/1
1,贵州省,9266.39,2014/1/1
1,云南省,12814.59,2014/1/1
1,西藏自治区,920.83,2014/1/1
1,陕西省,17689.94,2014/1/1
1,甘肃省,6836.82,2014/1/1
1,青海省,2303.32,2014/1/1
1,宁夏回族自治区,2752.1,2014/1/1
1,新疆维吾尔自治区,9273.46,2014/1/1
1,北京市,23014.59,2015/1/1
1,天津市,16538.19,2015/1/1
1,河北省,29806.11,2015/1/1
1,山西省,12766.49,2015/1/1
1,内蒙古自治区,17831.51,2015/1/1
1,辽宁省,28669.02,2015/1/1
1,吉林省,14063.13,2015/1/1
1,黑龙江省,15083.67,2015/1/1
1,上海市,25123.45,2015/1/1
1,江苏省,70116.38,2015/1/1
1,浙江省,42886.49,2015/1/1
1,安徽省,22005.63,2015/1/1
1,福建省,25979.82,2015/1/1
1,江西省,16723.78,2015/1/1
1,山东省,63002.33,2015/1/1
1,河南省,37002.16,2015/1/1
1,湖北省,29550.19,2015/1/1
1,湖南省,28902.21,2015/1/1
1,广东省,72812.55,2015/1/1
1,广西壮族自治区,16803.12,2015/1/1
1,海南省,3702.76,2015/1/1
1,重庆市,15717.27,2015/1/1
1,四川省,30053.1,2015/1/1
1,贵州省,10502.56,2015/1/1
1,云南省,13619.17,2015/1/1
1,西藏自治区,1026.39,2015/1/1
1,陕西省,18021.86,2015/1/1
1,甘肃省,6790.32,2015/1/1
1,青海省,2417.05,2015/1/1
1,宁夏回族自治区,2911.77,2015/1/1
1,新疆维吾尔自治区,9324.8,2015/1/1
